subj	rel	obj
build housing development	instrument	replace animal habitat
support cell	instrument	cell membrane
open clam	instrument	rock
feel	patient	pressure
ice melt	structural-verb	melt
protect	instrument	camouflage
insulator	has property	good
examine vehicle	agent	person
prince edward island	structural-noun-compound	edward
small planet	structural-adjective	small
magnify	result	big
dorset	at location	england
measure	patient	temperature
samoa	at location	southern hemisphere
light color	structural-noun	color
object touch	structural-verb	touch
central african republic	structural-noun-compound	central
take in oxygen	structural-verb	take in
light	at location	water
dna	causes	inherited characteristic
decompose	derivational morphology	decomposer
solid material	structural-noun	material
complex machine	structural-noun	machine
fire	has subcomponent	flame
climb object	agent	vine
few nutrient	structural-noun	nutrient
low object	structural-adjective	low
piece	has property	small
prepare storm	structural-patient	storm
lava cool	result	igneous rock
oil leak	structural-verb	leak
determine direction	instrument	compass
turks and caicos islands (uk)	structural-noun-compound	caicos
d e	structural-adjective	d
hypothesis	has property	testable
block light	result	shadow
graduated cylinder	structural-adjective	graduated
unicellular organism	structural-noun	organism
recycle resource	structural-patient	resource
summer	has subcomponent	most sunlight
lightning	causes	thunder
young human	structural-adjective	young
increase strength	structural-verb	increase
control	patient	water
diameter	has property	small
activity	causes	lose water
dark	has negative impact on	photosynthesize
find location	structural-verb	find
dog weight	structural-noun-compound	dog
arizona mountain king snake	structural-noun-compound	arizona
republic of ireland	structural-noun-compound	republic
catch prey	structural-verb	catch
monmouthshire	structural-noun-compound	monmouthshire
malta	at location	northern hemisphere
drop	patient	object
mouse	has subcomponent	fur
weight	has property	low
calculate speed	structural-patient	speed
magnet attract	patient	metal
guangxi	at location	people's republic of china
mountain range	structural-noun-compound	mountain
crop	has property	edible
dumfriesshire	at location	scotland
greatest weight	structural-adjective	greatest
snowshoe hare	structural-noun-compound	snowshoe
consumer eat organism	structural-agent	consumer
measure length	patient	object
change color	structural-patient	color
crop grow	structural-patient	grow
burn	patient	living thing
duration	similar to	time
vehicle operate	instrument	gasoline
heat body	structural-verb	heat
seed disperse	structural-verb	disperse
produce electricity	instrument	tidal energy
big eye	has positive impact on	see
light enter eye	structural-verb	enter
farm crop	structural-patient	crop
identical twin	has property	same inherited characteristic
great lakes	structural-adjective	great
definite shape	structural-adjective	definite
household appliance	structural-noun-compound	appliance
heat carbon	structural-verb	heat
great altitude	structural-noun	altitude
insulated	derivational morphology	insulate
run	agent	car engine
fan	has property	electric
evaporate	result	less water
fossil fuel	structural-noun-compound	fuel
changing	derivational morphology	change
guitar	has subcomponent	guitar string
need know	structural-verb	need
greatest size	structural-noun	size
know information	structural-patient	information
destruction	derivational morphology	destroy
brain control	patient	nervous system
farm crop	result	food
carbon dioxide	at location	air
ice crystal	structural-noun-compound	crystal
computer control robot	structural-verb	control
frogs	derivational morphology	frog
high	similar to	altitude
ivory coast	at location	southern hemisphere
shine	agent	light
iron nail	structural-noun-compound	iron
electricity	has subcomponent	moving charged particles
less weight	structural-quantifier	less
requirement	derivational morphology	require
ground water	structural-noun-compound	ground
eat	patient	poison
open	patient	clam
seasonal change	structural-noun	change
antigua and barbuda	structural-noun-compound	antigua
bacterium	has property	good
avoid predator	structural-patient	predator
move pedal	structural-patient	pedal
cover	patient	organism remains
pant	agent	animal
pine tree	structural-noun-compound	pine
material	has property	malleable
high number	structural-noun	number
planet orbit star	structural-verb	orbit
build	patient	tool
number	has property	greater
tabasco	at location	mexico
boil	result	spread out
dead tree	structural-adjective	dead
refract	result	change appearance
catch fish	structural-verb	catch
absorb heat	structural-verb	absorb
respiratory	derivational morphology	respire
drive	patient	vehicle
ferrous metal	has subcomponent	iron
filament glow	structural-agent	filament
tie back hair	structural-patient	hair
oil and water	structural-noun-compound	water
physical cycle	structural-noun-compound	physical
plant population	structural-noun-compound	plant
summer	has property	northern
lift flag	instrument	pulley
meteoroid impact	structural-verb	impact
likely	similar to	usually
less	similar to	decrease
measure volume	structural-verb	measure
balance	patient	ball
eat food	result	increase weight
rotting flesh	structural-noun	flesh
die	result	dead
short width	structural-noun	width
break down food	result	energy
tectonic plates	derivational morphology	tectonic plate
lower temperature	structural-noun	temperature
recycle	result	water
rest	derivational morphology	rest
temperature change	structural-verb	change
different object	has property	different size
late sunset	structural-noun	sunset
burn	patient	natural gas
south shetland islands (antarctic treaty signatories)	structural-noun-compound	signatories
earth orbit sun	structural-agent	earth
eat animal	agent	predator
grenada	at location	northern hemisphere
dry environment	has subcomponent	little water
hide	instrument	live underground
animal eat	patient	crop
reaction	has property	chemical
sun	has negative impact on	eye
break bone	structural-verb	break
plant grow	result	big leaf
reflect light	instrument	tinted lens
sound intensity	structural-noun-compound	intensity
visual depiction	structural-adjective	visual
material	has property	property
northern hemisphere	structural-noun-compound	hemisphere
bike pedal	structural-noun-compound	bike
transfer thermal energy	structural-verb	transfer
magnetic metals	structural-adjective	magnetic
see small thing	instrument	microscope
destroy	causes	harm
destroy environment	structural-verb	destroy
wind move sand	structural-agent	wind
shed	result	lose hair
mica	has property	nonmetallic
higher speed	structural-adjective	higher
maintain number	instrument	replace
sense	patient	warning
kincardineshire	structural-noun-compound	kincardineshire
animal	has property	pollinating
nonliving things	derivational morphology	nonliving thing
inverness-shire	structural-noun-compound	inverness
be	patient	extinct
absorb sunlight	structural-verb	absorb
ecosystem	has property	natural
japan	at location	northern hemisphere
plant grow	instrument	space
shake body	structural-patient	body
transport material	structural-verb	transport
capture food	instrument	spiderweb
similar characteristic	structural-noun	characteristic
frog	has property	young
develop trait	agent	organism
grow	instrument	nutrient
soil	has property	infertile
surface feature	structural-noun-compound	feature
rotation	derivational morphology	rotate
least number	structural-adjective	least
learned behaviour	structural-noun	behaviour
speed	has property	no
eagle eat rabbit	has negative impact on	rabbit
compress prehistoric animal remains	structural-verb	compress
water	causes	rock erosion
gear	has property	safety
reptile	has property	cold-blooded
crack	patient	entity
behavioral adaptation	structural-adjective	behavioral
jet stream	causes	cold weather
tree	has subcomponent	leaf
invent	instrument	new information
low visibility	structural-adjective	low
plant adapt	structural-agent	plant
wheel and axle	structural-noun-compound	axle
object	has property	positively-charged
water move sediment	structural-agent	water
conserve energy	instrument	hibernation
little air	structural-noun	air
nebraska	structural-noun-compound	nebraska
greater depth	structural-adjective	greater
24 hour	structural-quantifier	24
change	patient	colour
deep sea animal	structural-noun-compound	animal
bark	at location	branch
wind speed	structural-noun-compound	speed
white blood cell	structural-noun-compound	blood
water vapour condense	result	fog
french southern and antarctic lands (france)	structural-noun-compound	lands
wind energy	structural-noun-compound	energy
high pressure system	structural-noun-compound	system
warm weather	structural-noun	weather
shelter	instrument	tree
lens	has property	tinted
circular motion	similar to	circle
prepare	patient	food
money	has positive impact on	person
substance	has property	acidic
meat	at location	farm
ocean moisture	causes	hurricane
plant species	structural-noun-compound	species
reflect light ray	structural-patient	light ray
study	agent	charles darwin
animal	has subcomponent	diet
table	has property	hard
rabbit	at location	forest
push tectonic plate	result	earthquake
peat become coal	at location	swamp
plane	has property	inclined
aquatic animal survive	structural-agent	aquatic animal
discover	result	discovery
bean plant	structural-noun-compound	bean
eagle eat snake	has negative impact on	snake
matter	has property	weight
morelos	at location	mexico
overload outlet	structural-verb	overload
change environment	structural-verb	change
migrate	source	cool climate
male human	structural-adjective	male
hot plate	structural-noun-compound	plate
amount	has property	reduced
hear	patient	sound
frog	has property	baby
chemical change	structural-adjective	chemical
french polynesia (france)	structural-noun-compound	polynesia
body store	structural-verb	store
pine tree	structural-noun-compound	tree
high vibration	structural-adjective	high
digest	agent	organism
nocturnal predator	structural-noun	predator
frying	derivational morphology	fry
preserve food	structural-verb	preserve
live birth	structural-noun	birth
seed dispersal	structural-noun-compound	seed
move	patient	sand
arizona mountain king snake	structural-noun-compound	king
smoke	has negative impact on	lung
life function	structural-noun-compound	life
bird eat seed	structural-agent	bird
harm eye	structural-verb	harm
reproduce	result	offspring
reduce bacterium	structural-patient	bacterium
width	has property	small
different type	structural-adjective	different
animal	has property	warm-blooded
pump blood	agent	heart
measure rainfall	structural-verb	measure
rock deposit	structural-agent	rock
crop rotation	structural-noun-compound	crop
recycling	derivational morphology	recycle
organism	at location	home
oxygen	at location	blood
living entity	at location	habitat
oregon	at location	united states of america
few prey	has negative impact on	predator population
tree fall	structural-agent	tree
light refract	structural-verb	refract
examine vehicle	beneficiary	pollution standard
experiment	has subcomponent	chemical splash
break rock	structural-patient	rock
light bulb filament	structural-noun-compound	light
last quarter	structural-adjective	last
communicate	agent	human
intense sound energy	structural-noun	sound energy
jarvis island (united states)	at location	southern hemisphere
michoacán	structural-noun-compound	michoacán
open clam	structural-verb	open
energy	has property	electrical
appalachian mountains	structural-noun-compound	appalachian
good smell	structural-noun	smell
make food	agent	human
moon reflect sunlight	structural-verb	reflect
soft iron	structural-noun-compound	soft
carpool	result	less car
touch hot object	structural-patient	hot object
different soil	structural-adjective	different
create simple circuit	structural-patient	simple circuit
remora fish eat	instrument	attach shark
electrical insulator	structural-adjective	electrical
very tall	structural-adjective	tall
carbohydrate	has property	complex
number	has property	lowest
fuel supply	structural-noun-compound	supply
broken bone	structural-noun	bone
manganbabingtonite	has property	magnetic
many weight	structural-quantifier	many
dwarf planet	structural-noun-compound	dwarf
earthquake strength	structural-noun-compound	earthquake
crop rotation	structural-noun-compound	rotation
utah	structural-noun-compound	utah
perthshire	at location	scotland
air hole	structural-noun-compound	hole
hang tongue	structural-patient	tongue
shiver	causes	heat body
near north pole	structural-noun	north pole
absorbance	at location	surface
macau special administrative region	structural-noun-compound	region
heat solid	structural-verb	heat
burn natural gas	result	heat
burn wood	result	heat
flow	agent	colorado river
affect	agent	radiation
object	has property	close
plant become oil	structural-agent	plant
attract magnet	structural-patient	magnet
thick fur	structural-noun	fur
whale shark	structural-noun-compound	whale
temperature	causes	air pressure
railroad tracks	derivational morphology	railroad track
sharp beak	structural-adjective	sharp
animal become oil	instrument	bury animal
chad	at location	southern hemisphere
northern summer	has subcomponent	june
heat energy	has property	medium
help entity	has positive impact on	entity
find	agent	animal
light refract	structural-agent	light
sound reflect	structural-agent	sound
atmosphere	has subcomponent	solid
six leg	structural-adjective	six
mongolia	at location	northern hemisphere
remove dead organism	structural-verb	remove
lava	at location	ground
make valid conclusion	structural-verb	make
find food	structural-verb	find
create paper	structural-patient	paper
material	has property	neutral
phase change	result	new state
circuit	has subcomponent	wire
contact	patient	object
control	patient	animal
multi-cell organism	structural-noun-compound	organism
stove	has subcomponent	burner
greatest size	structural-adjective	greatest
carnivore eat animal	structural-agent	carnivore
bacteria	has property	microscopic
colorado river flow	structural-verb	flow
see	instrument	eye
fur	causes	warm
aquatic animal	has subcomponent	fin
sick person	structural-adjective	sick
animal	at location	underground
carbon dioxide-oxygen cycle	structural-noun-compound	carbon
hear	agent	animal
closed	derivational morphology	close
replace animal habitat	structural-verb	replace
visibility decrease	result	not see
examine	patient	vehicle
desert	has property	high sunlight
flowing liquid push	structural-verb	push
predate	has negative impact on	prey
cold weather	structural-noun	weather
plate tectonics	derivational morphology	plate tectonic
break down food	agent	digestive system
conserve water	structural-patient	water
wood	has property	nonmagnetic
communicate	instrument	radio
low pressure system	structural-noun-compound	low
national park limit	structural-verb	limit
protect soil	structural-verb	protect
predator eat	patient	prey
safety gear	structural-noun-compound	safety
zero speed	structural-noun	speed
falling water	structural-noun-compound	falling
central nervous system	structural-noun-compound	system
animal	has property	arctic
coral sea islands (australia)	structural-noun-compound	sea
sound energy	has property	intense
characteristic	has property	similar
carbon dioxide	structural-noun-compound	dioxide
moving water	structural-noun	water
cluck	agent	chicken
chemical reaction	structural-noun	reaction
refract	agent	wave
high wind speed	structural-adjective	high
move	agent	toy
inherited behaviour	structural-adjective	inherited
pesticide	at location	crop
pollution	has subcomponent	pollutant
ring	derivational morphology	ringing
78% nitrogen	structural-noun	nitrogen
lizard	has property	lizard weight
race	at location	track
light energy	structural-noun	energy
kent	at location	england
move food	goal	stomach
saint martin (france)	at location	northern hemisphere
seat belt	structural-noun-compound	belt
pyrrhotite	has property	magnetic
magnetic field	structural-noun-compound	magnetic
waves	derivational morphology	wave
glacier	has subcomponent	snow
leicestershire	at location	england
object	has property	structure
cardboard	has property	nonmagnetic
huntingdonshire	structural-noun-compound	huntingdonshire
break down food	beneficiary	body
sunrise	structural-noun-compound	rise
chemical	has property	basic
lowest daylight	structural-noun	daylight
city	causes	light pollution
fly kite	structural-patient	kite
plant cells	structural-noun	plant
michigan	structural-noun-compound	michigan
oxygen	at location	circulatory system
tokelau (new zealand)	structural-noun-compound	zealand
sun shine	structural-verb	shine
uzbekistan	at location	northern hemisphere
west virginia	structural-noun-compound	west
measure	patient	rainfall
oil	has property	nonrenewable
south africa	structural-noun-compound	africa
observe moon	structural-patient	moon
plastic	has property	nonrenewable
transport dirt	structural-patient	dirt
cool	agent	lava
animal bury seed	structural-verb	bury
exhale	result	carbon dioxide
prehistoric living thing	structural-noun	living thing
tlaxcala	at location	mexico
soil	has property	loose
little air	structural-quantifier	little
scratch	instrument	hard
human eat crop	structural-verb	eat
macau	at location	people's republic of china
ferrous metals	derivational morphology	ferrous metal
lead	has property	nonmagnetic
be in	result	touch
move	patient	object
mayotte (france)	at location	southern hemisphere
musical instrument	causes	sound
move	patient	pedal
surface	has property	shiny
photosynthesize	instrument	sunlight
shake	derivational morphology	shaking
bacteria	causes	food poisoning
earthquake	causes	mountain
change environment	agent	human
laboratory coat	structural-noun-compound	laboratory
flip	patient	switch
carry food	structural-patient	food
less land	structural-quantifier	less
vehicle	causes	pollution
cut down tree	result	tree die
something	has property	amount
heat energy	has property	high
safety goggle	at location	eye
warm water	structural-adjective	warm
circuit	has property	open
distraction	derivational morphology	distract
iron nail	has subcomponent	iron
force	causes	slow
rubber band	structural-noun-compound	band
colima	at location	mexico
kind of	structural-adjective	kind
birth	agent	monkey
eat	instrument	mouth
earth's surface	at location	earth
animal drink desalinated water	structural-agent	animal
obtain information	instrument	sense
herbivore eat plant	has positive impact on	herbivore
magnet	has subcomponent	south pole
add salt	goal	liquid
cloudy day	has subcomponent	little sunlight
loosen	derivational morphology	loose
decrease	agent	visibility
kill animal	structural-patient	animal
dangerous object	causes	harm
macau special administrative region	structural-noun-compound	macau
raccoon eat trash	has positive impact on	raccoon
eritrea	at location	southern hemisphere
variable shape	structural-adjective	variable
disturb	patient	animal
glacial environment	structural-noun-compound	environment
vehicle	has subcomponent	windshield wiper
dormant plant	structural-noun	plant
animal disappear	structural-verb	disappear
earth poles	structural-noun	earth
sugar dissolve	at location	water
less object	structural-quantifier	less
rain	derivational morphology	rain
georgia	at location	united states of america
count	instrument	see
require resource	structural-verb	require
absorb energy	structural-verb	absorb
inheritance	derivational morphology	inherit
pour	derivational morphology	pouring
precipitate	instrument	low pressure system
animal gather seed	structural-verb	gather
small rock	structural-adjective	small
life cycle	has subcomponent	metamorphosis
energy source	structural-noun-compound	energy
electric magnet	structural-adjective	electric
identify pure substance	instrument	melting point
windshield wiper	structural-noun-compound	wiper
data	derivational morphology	data
surfaces	derivational morphology	surface
acquired characteristic	structural-noun	characteristic
day	has subcomponent	nighttime
rutland	structural-noun-compound	rutland
understand instruction	structural-verb	understand
montana	structural-noun-compound	montana
object	has property	medium
cylindrical ferrous metal	structural-noun	ferrous metal
gravitational pull	structural-adjective	gravitational
winter	has subcomponent	cold temperature
stop	patient	vehicle
deflect air	structural-verb	deflect
adjust	patient	temperature
shed fur	result	less dense
waste	at location	landfill
amount	has property	big
move bone	structural-verb	move
decrease animal population	structural-patient	animal population
generate	patient	heat
surface material	structural-noun-compound	material
new york	structural-noun-compound	new
prairie dog	structural-noun-compound	dog
horned lizard	structural-noun-compound	horned
old object	structural-adjective	old
magma	at location	underground
lack	similar to	low
wasp stinger	structural-noun-compound	stinger
structure	has property	crystal
attract mate	structural-patient	mate
digest	agent	digestive system
metal	has property	magnetic
wear safety goggle	structural-patient	safety goggle
environment	has property	cold
power electrical device	structural-patient	electrical device
cell respire	result	energy
british virgin islands (uk)	structural-noun-compound	islands
warm-blooded animal	structural-noun	animal
low temperature	structural-adjective	low
unique leaf	structural-noun	leaf
race	has subcomponent	start
discover color	structural-patient	color
destroy habitat	structural-patient	habitat
bright	has property	less
made of	similar to	contains
digestive system	has subcomponent	small intestine
water exposure	structural-noun-compound	water
niue (new zealand)	at location	southern hemisphere
fur	has property	color
new hampshire	structural-noun-compound	hampshire
many organism	structural-quantifier	many
reach	goal	destination
light year	structural-noun-compound	year
louis pasteur invent	patient	pasteurization
scientific skill	structural-noun	skill
magnifying lens	structural-noun-compound	lens
low quality soil	structural-noun	soil
property	has property	intensive
windmill	has positive impact on	environment
new state	structural-noun	state
mimicry	has positive impact on	prey
landfill	has negative impact on	community
solar radiation	structural-noun-compound	solar
substance	at location	source
mine	at location	ground
little bright	structural-quantifier	little
environment	has subcomponent	soil
used for	instrument	required object
webbed feet	structural-noun	feet
breathe water	structural-patient	water
control animal	agent	brain
size	has property	big
flower	has subcomponent	seed
heat	patient	object
form	patient	rust
less precipitation	structural-quantifier	less
producer	derivational morphology	produce
carbonic acid dissolve limestone	structural-agent	carbonic acid
guangdong	at location	people's republic of china
raccoon eat garbage	structural-patient	garbage
keep from happen	structural-patient	happen
united kingdom	at location	northern hemisphere
plasma	at location	star
keep from happen	structural-verb	keep from
kenya	at location	equator
eat	agent	organism
erode	agent	rock
extreme pressure	structural-noun	pressure
touch object	structural-verb	touch
grey cloud	structural-noun	cloud
beijing municipality	at location	people's republic of china
xinjiang autonomous region	structural-noun-compound	region
required object	structural-adjective	required
farm meat	structural-noun-compound	meat
water	at location	outside
offspring	has subcomponent	inherited characteristic
short distance	structural-adjective	short
have effect	structural-verb	have
refract	patient	light
wire	has subcomponent	metal
point	patient	north
observe distant object	structural-patient	distant object
manage number	instrument	replace
produce seed	instrument	flower
many required item	structural-noun	item
far from earth	structural-noun-compound	earth
better observation	structural-adjective	better
great distance	structural-noun	distance
predict weather	structural-patient	weather
make valid conclusion	instrument	testable hypothesis
protect environment	structural-verb	protect
light enter eye	structural-agent	light
moon's surface	structural-noun-compound	moon's
much energy	structural-quantifier	much
mountain	has subcomponent	rock
veracruz	structural-noun-compound	veracruz
electron leave atom	structural-verb	leave
cloud	causes	rain
sound	has property	sound intensity
change animal habitat	result	animal harm
girl	has property	young
natural structure	structural-adjective	natural
punnett square	structural-noun-compound	punnett
move	patient	heavy object
body of water	structural-noun-compound	water
squirrel eat edible plant	has positive impact on	squirrel
bear eat berry	structural-patient	berry
avoid predator	has positive impact on	prey
measure mass	structural-patient	mass
dependent variable	structural-noun-compound	variable
value	has property	above
first quarter moon	structural-noun-compound	first
taiwan	at location	northern hemisphere
electron microscope create	structural-verb	create
paint object	structural-verb	paint
kill	patient	bacteria
decaying vegetation	structural-noun-compound	vegetation
l	has property	p
water flow	at location	slope
glacier ice melt	structural-verb	melt
suffolk	structural-noun-compound	suffolk
weathered	derivational morphology	weather
weathering process	has subcomponent	water
absorb	patient	visible light
squirrel eat fruit	structural-verb	eat
365 day	structural-quantifier	365
coal mine	structural-noun-compound	mine
summer	has property	southern
tree die	structural-agent	tree
population increase	structural-verb	increase
material	has property	similar
earth	has subcomponent	ground
make discovery	structural-verb	make
die	result	death
escape predator	agent	animal
brazil	at location	equator
provide	patient	energy
hot object	structural-noun	object
few organism	structural-noun	organism
snow	has property	white
eat	agent	consumer
detect	patient	carbon monoxide
release	patient	ink
same prey	structural-noun	prey
describe	patient	weather
pole	has property	little daylight
low air pressure	structural-quantifier	low
group object	structural-patient	object
few predator	has positive impact on	prey population
thick feather	causes	warmth
bacterium digest	structural-verb	digest
receive	patient	warning
specific climate	structural-noun	climate
dig	instrument	stick
earth pole	structural-noun-compound	pole
r e	structural-adjective	r
one cell	structural-noun	cell
round object	structural-adjective	round
iraq	at location	northern hemisphere
apply	patient	force
togo	at location	southern hemisphere
distant object	structural-adjective	distant
material	has property	natural
calculate speed	structural-verb	calculate
carrion flower	structural-noun-compound	carrion
round rock	structural-patient	rock
thermal conductor	structural-noun-compound	conductor
carbohydrate	has property	simple
p l	structural-adjective	p
united states virgin islands (us)	at location	northern hemisphere
guangxi	structural-noun-compound	guangxi
recycle	patient	recyclable material
landfill	causes	pollution
franklinite	has property	magnetic
leaf tilt	structural-verb	tilt
amount	has property	above
observe planet	structural-patient	planet
food	at location	esophagus
altitude	at location	sky
vehicle compete	structural-agent	vehicle
escape predator	structural-patient	predator
know part	structural-patient	part
place	has property	specific
oil leak	instrument	offshore oil platform
bend light	structural-patient	light
weight	has property	greatest
mountain	has property	very tall
water vapour cool	structural-agent	water vapour
tree frog	structural-noun-compound	tree
ashmore and cartier islands (australia)	at location	southern hemisphere
attract pollinator	agent	plant
sun move	structural-agent	sun
cause formation	structural-patient	formation
move	agent	water
support cell	structural-patient	cell
resource consumer	structural-noun-compound	consumer
point	agent	compass
lava cool	structural-verb	cool
society	has subcomponent	human
zambia	at location	southern hemisphere
can see	structural-verb	can
oxygen	at location	respiratory system
catch insect	structural-verb	catch
plant grow	instrument	soil
mosquito lay egg	structural-patient	egg
electric device function	structural-agent	electric device
soil erosion	at location	field
change	agent	earth
good health	structural-adjective	good
scratch	patient	glass
eat	patient	fruit
goslarite	has property	magnetic
bike	has property	emission-free
eat food	agent	consumer
blue jay	structural-noun-compound	blue
young rock	structural-noun	rock
cut down forest	structural-verb	cut down
reflect light	structural-patient	light
lose fur	structural-verb	lose
baja california sur	at location	mexico
rain	causes	water
adult tree	structural-noun	tree
poisonous animal	has property	dangerous
planet	has property	third
slip ice	structural-verb	slip
decompose	instrument	eat
sandbar	at location	downstream
inverness-shire	structural-noun-compound	shire
structure	has property	geologic
colorado river flow	structural-agent	colorado river
produce	agent	green plant
much force	structural-noun	force
small space	structural-adjective	small
shelter	beneficiary	bird
weather	instrument	material
winter	causes	dormant plant
rotting meat smell	structural-noun-compound	rotting
many something	structural-noun	something
body	has property	tube-like
north carolina	at location	united states of america
fewer prey	structural-noun	prey
snow fall	structural-verb	fall
skid	has negative impact on	speed
saint martin (france)	structural-noun-compound	france
push tectonic plate	structural-verb	push
flower	has subcomponent	pollen
nuclear fusion	structural-noun-compound	fusion
moon appearance	structural-noun-compound	appearance
light	has property	low
nonliving things	structural-noun	things
south shetland islands (antarctic treaty signatories)	structural-noun-compound	south
colored layer	structural-adjective	colored
medium temperature	structural-adjective	medium
ocean shell	structural-noun-compound	ocean
metallic	similar to	shiny
harm living thing	structural-verb	harm
devon	at location	england
chongqing municipality	at location	people's republic of china
predator eat prey	structural-patient	prey
warwickshire	at location	england
less water	structural-quantifier	less
toy	has property	remote-control
bring substance	structural-patient	substance
connecticut	structural-noun-compound	connecticut
durham	structural-noun-compound	durham
burn natural gas	structural-patient	natural gas
produce	patient	offspring
lose water	structural-verb	lose
young frog	structural-noun	frog
dog	has property	young
goggles	derivational morphology	goggle
100 year	structural-noun	year
turkey	at location	northern hemisphere
high pressure system	structural-noun-compound	high
plant appear	structural-verb	appear
open space	structural-noun	space
bacterium digest	structural-agent	bacterium
earthquake	at location	ground
number	has property	lower
catch	patient	fish
open circuit	structural-adjective	open
consume	similar to	eat
reproduce	agent	female
cell	has property	unspecialized
sense	patient	prey
maryland	structural-noun-compound	maryland
animal	has property	aquatic
kill bacterium	structural-verb	kill
long ago	has subcomponent	history
break down food	instrument	digestive system
heard island and mcdonald islands (australia)	structural-noun-compound	island
floating arrow point	structural-verb	point
deposit	result	deposition
cobalt	has property	magnetic
survive	instrument	compete
filament glow	structural-verb	glow
surface	has property	rough
discover color	structural-verb	discover
do	patient	job
ayrshire	structural-noun-compound	ayrshire
distance	has property	vertical
change	patient	volume
ice crystals	structural-noun	ice
charge	has property	same
filter waste	structural-patient	waste
prey population	structural-noun-compound	prey
angus	at location	scotland
ashmore and cartier islands (australia)	structural-noun-compound	australia
sharp sense	structural-adjective	sharp
absorb sound	structural-patient	sound
radiation affect	structural-agent	radiation
survive	beneficiary	organism
can	patient	see
make	patient	object
increase bad thing	has negative impact on	object
create	patient	heat
air vibrate	structural-verb	vibrate
water vapour condense	result	water bead
wheel travel	structural-agent	wheel
galileo galilei improve telescope	structural-verb	improve
sand dune	structural-noun-compound	sand
river flow	result	valley
burn	patient	wood
carbon dioxide-oxygen cycle	structural-noun-compound	cycle
weathered rocks	structural-noun	rocks
qatar	at location	northern hemisphere
bat	has subcomponent	fur
chihuahua	structural-noun-compound	chihuahua
boil	result	gas
water absorb	patient	light energy
protective covering	structural-noun	covering
sudan	at location	southern hemisphere
v	has property	o
action	has property	fast
transport energy	instrument	carbohydrate
show change	structural-patient	change
thermal conductor	has subcomponent	heat
metamorphoze	agent	amphibian
streak plate	structural-noun-compound	plate
solar panel	causes	electricity
capture	patient	food
mauritius	at location	southern hemisphere
affect	patient	organism niche
mountain chorus frog	structural-noun-compound	frog
compact sediment	structural-patient	sediment
remove hot object	structural-patient	hot object
earth orbit	at location	sun
find	patient	mate
tinted lens	structural-adjective	tinted
soil wash away	structural-verb	wash away
bubble	has subcomponent	gas
body	has subcomponent	body part
hide	instrument	reduce visibility
pull bone	result	move bone
measure mass	structural-verb	measure
always available	structural-noun	available
more leaf	structural-quantifier	more
sea anemone	structural-noun-compound	sea
increase	patient	water
destroy	result	not exist
mammal birth	structural-agent	mammal
circulatory system	has subcomponent	blood
push heavy object	instrument	much force
weather	has property	wind speed
coral	at location	water
life cycle	has subcomponent	growth
few prey	structural-quantifier	few
push	instrument	mechanical energy
change taste	structural-patient	taste
respire	agent	cell
warm water	structural-noun	water
state of palestine	structural-noun-compound	palestine
low population	structural-noun	population
ability	has positive impact on	difficulty
decomposer consume	structural-agent	decomposer
young chicken	structural-adjective	young
remove process inhibitor	causes	process
identify inheritance	instrument	punnett square
year	has subcomponent	winter
fur	has property	white
compress decomposing algae	structural-patient	decomposing algae
reflect	result	echo
water	has property	deep
big altitude	causes	cold
erosion	causes	deposition
object	has property	thin
nocturnal predator hunt	structural-agent	nocturnal predator
melting point	structural-noun-compound	melting
strum guitar	structural-patient	guitar
color	has property	light
beak	has property	strong
wipe up spill	structural-patient	spill
reaction	derivational morphology	react
shelter	at location	environment
anchor	patient	plant
particles	derivational morphology	particles
midlothian	at location	scotland
roller skate	structural-noun-compound	roller
spread seed	agent	animal
remove tree	structural-patient	tree
ecosystem	has subcomponent	living organism
average size	structural-noun	size
metal	has property	ferromagnetic
decompose	agent	fungus
green plant	structural-adjective	green
object	has property	hardness
environment	has subcomponent	atmosphere
kill virus	structural-verb	kill
household appliance	structural-noun-compound	household
cold environment	has property	white
material	at location	pholem
caithness	structural-noun-compound	caithness
life cycle	has subcomponent	pupa stage
moon's surface	has subcomponent	flat area
track	has subcomponent	start
air pressure decrease	structural-agent	air pressure
reduce source	result	less object
sort type	structural-verb	sort
eliminate	patient	waste
high intensity	structural-adjective	high
food web	has subcomponent	predator
fresh food	has property	safe
alligator eat bird	structural-agent	alligator
sedimentary rock	has property	colored layer
weather	has property	dry
push water	structural-verb	push
matter form	structural-verb	form
grow large	structural-patient	large
british indian ocean territory (united kingdom)	at location	southern hemisphere
food chain role	structural-noun-compound	chain
bird eat berry	has positive impact on	bird
cure	patient	sick people
young cat	structural-noun	cat
p l	structural-noun	l
tilt	agent	leaf
simple carbohydrate	structural-noun	carbohydrate
madagascar	at location	southern hemisphere
something	has property	none
ground	has subcomponent	soil
cell	has subcomponent	oxygen
less wet	structural-quantifier	less
disaster	has property	natural
chongqing municipality	structural-noun-compound	municipality
cook	instrument	frying pan
camouflage	instrument	coloration
turn on furnace	structural-verb	turn on
eat animal	agent	omnivore
read	has subcomponent	literacy
body of water	has subcomponent	water
environment	has property	condition
affected	derivational morphology	affect
turkmenistan	at location	northern hemisphere
french guiana (france)	structural-noun-compound	guiana
greatest depth	structural-adjective	greatest
animal leave environment	structural-verb	leave
sedimentary rock	structural-adjective	sedimentary
push button	result	complete circuit
