subj	rel	obj
shape	kind of	appearance
decrease amount	structural-verb	decrease
rock cycle	structural-noun-compound	rock
see specimen	structural-patient	specimen
tectonic plates	structural-noun	plates
boiling point	structural-noun-compound	point
jump rope	structural-patient	rope
carrion	synonym	rotting meat
object	has subcomponent	material
heavy	instance of	mass
sort kind	structural-patient	kind
animal	at location	environment
black-eyed susan wildflower	structural-noun-compound	wildflower
soil sample	structural-noun-compound	soil
water	has property	below
falling water produce electricity	structural-patient	electricity
weather event	structural-noun-compound	weather
carbon cycle	kind of	process
predator eat animal	has positive impact on	predator
continuous path	structural-noun	path
pump blood	structural-patient	blood
season	synonym	temperature change
owl	kind of	predator
food web	structural-noun-compound	food
light candle	structural-patient	candle
remote-control toy	kind of	toy
fast	synonym	quick
transmittance	antonym	refraction
sprout	kind of	born
consumer	derivational morphology	consume
heard island and mcdonald islands (australia)	structural-noun-compound	heard
bedrock	kind of	rock
ecological succession	structural-adjective	ecological
container	has property	flexible
putting	derivational morphology	put
railroad track	kind of	object
respiratory system	has subcomponent	lung
terrain	has property	rocky
american samoa (united states)	structural-noun-compound	states
animal instinct	structural-noun-compound	animal
new zealand	structural-noun-compound	new
alabama	at location	united states of america
sign	synonym	evidence
raccoon eat garbage	has negative impact on	garbage
element	kind of	material
bonaire (netherlands)	structural-noun-compound	netherlands
object	has property	useful
small particle	structural-noun	particle
new information	structural-noun	information
m o	structural-noun	o
curling	kind of	behavior
aquatic	at location	water
destroyed	derivational morphology	destroy
matter	has property	state
bury plant	structural-verb	bury
irregular object	structural-noun	object
yunnan	structural-noun-compound	yunnan
sunlight	derivational morphology	sun
saudi arabia	structural-noun-compound	arabia
scrape	synonym	scratch
use vehicle	structural-verb	use
san luis potosí	instance of	state
magnetism	causes	attract
wheel and axle	kind of	simple machine
curly hair	structural-noun	hair
reduce population	structural-verb	reduce
many sleep	structural-noun	sleep
ounces	kind of	weight
transport	synonym	move
material	has property	solid
perthshire	structural-noun-compound	perthshire
southern winter	has subcomponent	june
put group	structural-verb	put
dead organism	has subcomponent	nutrient
top soil layer	structural-noun	soil layer
body of water	kind of	land feature
lighter	synonym	less weight
fly	kind of	insect
inexhaustible resource	structural-noun	resource
soda	kind of	beverage
dwarf planet	has property	small
juice	kind of	matter
hawk eat lizard	structural-agent	hawk
hummingbird eat	structural-agent	hummingbird
group	synonym	place group
close switch	structural-patient	switch
setting	derivational morphology	set
pebble	kind of	small rock
building	has subcomponent	furnace
light pollution	has subcomponent	light
vertical axis	structural-noun-compound	vertical
location	synonym	position
macau special administrative region	structural-noun-compound	special
skin	has property	appearance
big size	structural-noun	size
winter	has property	southern
container	kind of	object
dead leaf	structural-adjective	dead
air	has property	warm
object	has property	cool
bird	instance of	predator
gold	kind of	element
special administrative region	structural-noun-compound	administrative
obtain food	structural-patient	food
many light	structural-quantifier	many
sediment fall	structural-agent	sediment
toward	antonym	away
southern winter solstice	structural-adjective	southern
population	at location	area
crumble	synonym	break down
land formation	structural-noun-compound	land
prince edward island	structural-noun-compound	island
tree	has subcomponent	fruit
grass	kind of	surface
object	has property	density
musical instrument	structural-noun	instrument
young cat	structural-adjective	young
new south wales	at location	australia
soil layer	structural-noun-compound	layer
force	causes	speed
animal habitat	structural-noun-compound	habitat
centimeters	synonym	cm
control water	structural-verb	control
compact sediment	structural-verb	compact
animal remains	has property	prehistoric
demonstration	similar to	example
intense	synonym	high intensity
fertilizer	has subcomponent	chemical
multicellular organism	structural-adjective	multicellular
plant matter	kind of	organic matter
same object	structural-noun	object
require	derivational morphology	required
wood	has property	dry
animal	has subcomponent	instinctive behaviour
swamp	kind of	environment
look	kind of	see
british virgin islands (uk)	structural-noun-compound	uk
avoid fossil fuel	structural-verb	avoid
jackrabbit	has subcomponent	long ear
turf	has property	artificial
tree	has property	large
navigate	at location	sea
windmill	has subcomponent	wind energy
south georgia and the south sandwich islands (uk)	structural-noun-compound	georgia
burn biofuel	structural-patient	biofuel
mirror	has subcomponent	shiny surface
fast breathing	structural-noun	breathing
carry	similar to	conduct
distance	has property	great
process	has property	quick
water boiling point	synonym	212f
move water	structural-patient	water
xinjiang autonomous region	instance of	autonomous region
clackmannanshire	structural-noun-compound	clackmannanshire
aquatic animal	kind of	animal
below	antonym	above
evaporation	kind of	process
cells	derivational morphology	cells
forfarshire	instance of	county
liquid	at location	pipe
decrease freezing point	structural-verb	decrease
connecticut	instance of	state
electric toothbrush	kind of	electric device
deflect air	structural-patient	air
deep water	structural-noun	water
rise	derivational morphology	rising
little food	causes	decrease population
mixed	derivational morphology	mix
earthquake	causes	rock layer fold
jilin	instance of	province
prey	kind of	animal
cold place	structural-noun	place
resource decrease	structural-patient	decrease
thermal gloves	structural-noun	gloves
know direction	structural-patient	direction
gene	has property	dominant
raccoon eat waste	structural-verb	eat
fuel supply	kind of	resource
flowers	derivational morphology	flower
soil	has property	low
invent telephone	at location	boston
object	has property	negatively-charged
sense	has property	enhanced
cayman islands (uk)	structural-noun-compound	islands
heal bone	structural-patient	bone
big amount	has positive impact on	extensive property
crystal	has subcomponent	crystal structure
car	kind of	object
insect	has subcomponent	six legs
cat	kind of	carnivore
zhejiang	structural-noun-compound	zhejiang
vegetation	synonym	plant
cast image	structural-verb	cast
s; sec	structural-noun-compound	sec
broken	derivational morphology	break
waxing gibbous	structural-noun-compound	waxing
humid	instance of	humidity
district of columbia	synonym	washington, d.c.
availability	has positive impact on	consumer
eyeglass lens	kind of	object
ground	at location	bottom of area
prevent flow	structural-verb	prevent
stopped	synonym	0 speed
support animal	structural-verb	support
consume food	structural-verb	consume
legs	derivational morphology	legs
transport mineral	structural-verb	transport
electrical signal	structural-noun	signal
create peate	structural-patient	peate
dog weight	instance of	weight
product	kind of	object
touching	derivational morphology	touch
chemical reaction	causes	substance
be user for	similar to	allow
attract fly	structural-verb	attract
metal fork	structural-noun-compound	fork
household	derivational morphology	home
stop	synonym	zero speed
step	synonym	stage
long lasting object	has negative impact on	replacement
fox	kind of	animal
first quarter moon	structural-noun-compound	quarter
tree number	structural-noun-compound	tree
staffordshire	structural-noun-compound	staffordshire
access resource	structural-verb	access
adaptation	has positive impact on	health
play	at location	beach
squirrel eat edible plant	structural-patient	edible plant
oxygen rich	structural-noun-compound	rich
earth tilt	structural-noun-compound	tilt
lever	kind of	simple machine
edinburghshire	structural-noun-compound	edinburghshire
light bulb	has subcomponent	light bulb filament
electric toothbrush	structural-noun	toothbrush
producer produce	structural-verb	produce
south georgia and the south sandwich islands (united kingdom)	at location	southern hemisphere
star	kind of	celestial object
energy	has property	heat
light pollution	structural-noun-compound	light
need	synonym	require
property	derivational morphology	place
spring	has subcomponent	warm temperature
pollutant	derivational morphology	pollution
snow	kind of	ice
temperature increase	structural-agent	temperature
oklahoma	structural-noun-compound	oklahoma
tree	kind of	matter
landform	synonym	land feature
meadow vole	structural-noun-compound	meadow
hunan	structural-noun-compound	hunan
baby dog	synonym	puppy
animal	has property	adult
predator eat prey	has negative impact on	prey
height	kind of	inherited characteristic
sun	has subcomponent	sunlight
allow	synonym	can
skin	has property	very large
new land	structural-adjective	new
ayrshire	at location	scotland
same sunlight	structural-noun	sunlight
thunder	has property	loud
immature animal	structural-adjective	immature
hum	kind of	sound
quick travel	structural-noun	travel
sea bottom	structural-noun-compound	bottom
colour	has property	light
monmouthshire	instance of	county
lizard weight	instance of	weight
speed	has property	zero
rubber eraser	structural-adjective	rubber
insect eat crop	structural-verb	eat
oklahoma	at location	united states of america
cool climate	structural-adjective	cool
object	has property	hollow
panel	kind of	object
leaf	has property	brown
oil leak	structural-agent	oil
similar material	structural-adjective	similar
sun	causes	rainbow
water vapour	kind of	gas
kinross-shire	at location	scotland
bee convert nectar	structural-agent	bee
increase value	structural-verb	increase
synthetic material	structural-noun	material
bird eat insect	structural-verb	eat
northumberland	at location	england
city	kind of	location
kincardineshire	at location	scotland
size	has property	lower
summer	has subcomponent	hot temperature
body system	structural-noun-compound	system
moisture	causes	hurricane
move heavy object	structural-patient	heavy object
jump rope	structural-verb	jump
process inhibitor	structural-noun-compound	process
irregular object	structural-adjective	irregular
sleep	causes	health
earth rotate	at location	earth's axis
sterling silver	structural-noun-compound	sterling
gram	kind of	mass
protect plant	structural-patient	plant
octopus hide	structural-verb	hide
erode soil	has negative impact on	environment
thermal glove	structural-noun-compound	thermal
electron microscope	structural-noun-compound	microscope
nottinghamshire	instance of	county
earth change	structural-verb	change
most sunlight	structural-quantifier	most
lose resource	structural-verb	lose
ice melt	structural-verb	melt
insulator	has property	good
gradual	synonym	slow
prince edward island	structural-noun-compound	edward
perform task	kind of	function
small planet	structural-adjective	small
dorset	at location	england
samoa	at location	southern hemisphere
days	derivational morphology	days
light color	structural-noun	color
tide	kind of	natural event
object touch	structural-verb	touch
bacterium	kind of	organism
central african republic	structural-noun-compound	central
renewable	antonym	nonrenewable
take in oxygen	structural-verb	take in
light	at location	water
dna	causes	inherited characteristic
decompose	derivational morphology	decomposer
solid material	structural-noun	material
complex machine	structural-noun	machine
fire	has subcomponent	flame
tadpole	kind of	young frog
few nutrient	structural-noun	nutrient
low object	structural-adjective	low
piece	has property	small
prepare storm	structural-patient	storm
oil leak	structural-verb	leak
turks and caicos islands (uk)	structural-noun-compound	caicos
d e	structural-adjective	d
body part	kind of	inherited characteristic
hypothesis	has property	testable
graduated cylinder	structural-adjective	graduated
unicellular organism	structural-noun	organism
flintshire	instance of	county
recycle resource	structural-patient	resource
shortest	synonym	smallest length
summer	has subcomponent	most sunlight
path	kind of	pathway
lightning	causes	thunder
motion	synonym	kinetic energy
young human	structural-adjective	young
degrees kelvin	synonym	k
cloud	kind of	weather
bird fly south	kind of	migrate
increase strength	structural-verb	increase
centimeters	kind of	distance
diameter	has property	small
activity	causes	lose water
motion	synonym	movement
dark	has negative impact on	photosynthesize
dry	instance of	humidity
find location	structural-verb	find
dog weight	structural-noun-compound	dog
arizona mountain king snake	structural-noun-compound	arizona
republic of ireland	structural-noun-compound	republic
catch prey	structural-verb	catch
monmouthshire	structural-noun-compound	monmouthshire
heilongjiang	instance of	province
malta	at location	northern hemisphere
mouse	has subcomponent	fur
weight	has property	low
coyote	kind of	animal
calculate speed	structural-patient	speed
sutherland	instance of	county
thrust	synonym	push
guangxi	at location	people's republic of china
mountain range	structural-noun-compound	mountain
crop	has property	edible
delta	kind of	geologic landform
dumfriesshire	at location	scotland
greatest weight	structural-adjective	greatest
snowshoe hare	structural-noun-compound	snowshoe
consumer eat organism	structural-agent	consumer
change color	structural-patient	color
crop grow	structural-patient	grow
duration	similar to	time
stout beardfish	kind of	fish
heat body	structural-verb	heat
seed disperse	structural-verb	disperse
positive impact	synonym	benefit
big eye	has positive impact on	see
light enter eye	structural-verb	enter
farm crop	structural-patient	crop
identical twin	has property	same inherited characteristic
celestial body move	kind of	event
clay	kind of	material
great lakes	structural-adjective	great
same	synonym	equal
definite shape	structural-adjective	definite
household appliance	structural-noun-compound	appliance
nanometers	kind of	distance
heat carbon	structural-verb	heat
great altitude	structural-noun	altitude
insulated	derivational morphology	insulate
farmer	kind of	human
fan	has property	electric
weed	kind of	plant
fossil fuel	structural-noun-compound	fuel
changing	derivational morphology	change
guitar	has subcomponent	guitar string
need know	structural-verb	need
greatest size	structural-noun	size
know information	structural-patient	information
destruction	derivational morphology	destroy
carbon dioxide	at location	air
ice crystal	structural-noun-compound	crystal
computer control robot	structural-verb	control
inherited characteristic	antonym	learned characteristic
frogs	derivational morphology	frog
high	similar to	altitude
ivory coast	at location	southern hemisphere
iron nail	structural-noun-compound	iron
electricity	has subcomponent	moving charged particles
less weight	structural-quantifier	less
requirement	derivational morphology	require
ground water	structural-noun-compound	ground
seasonal change	structural-noun	change
antigua and barbuda	structural-noun-compound	antigua
bacterium	has property	good
avoid predator	structural-patient	predator
move pedal	structural-patient	pedal
pine tree	structural-noun-compound	pine
clear	instance of	weather
material	has property	malleable
high number	structural-noun	number
planet orbit star	structural-verb	orbit
sedimentary rock	kind of	rock
number	has property	greater
tabasco	at location	mexico
dead tree	structural-adjective	dead
catch fish	structural-verb	catch
absorb heat	structural-verb	absorb
atlantic ocean	kind of	ocean
respiratory	derivational morphology	respire
bowl	kind of	container
ferrous metal	has subcomponent	iron
filament glow	structural-agent	filament
tie back hair	structural-patient	hair
oil and water	structural-noun-compound	water
physical cycle	structural-noun-compound	physical
plant population	structural-noun-compound	plant
summer	has property	northern
meteoroid impact	structural-verb	impact
fruit	kind of	object
likely	similar to	usually
less	similar to	decrease
measure volume	structural-verb	measure
block	kind of	object
rotting flesh	structural-noun	flesh
short width	structural-noun	width
tectonic plates	derivational morphology	tectonic plate
lower temperature	structural-noun	temperature
decimeters	derivational morphology	decimeters
push	kind of	motion
rest	derivational morphology	rest
temperature change	structural-verb	change
different object	has property	different size
late sunset	structural-noun	sunset
south shetland islands (antarctic treaty signatories)	structural-noun-compound	signatories
earth orbit sun	structural-agent	earth
berry	kind of	fruit
power	synonym	provide energy
grenada	at location	northern hemisphere
dry environment	has subcomponent	little water
reaction	has property	chemical
sun	has negative impact on	eye
break bone	structural-verb	break
sound intensity	structural-noun-compound	intensity
visual depiction	structural-adjective	visual
material	has property	property
northern hemisphere	structural-noun-compound	hemisphere
catch	synonym	obtain
bike pedal	structural-noun-compound	bike
transfer thermal energy	structural-verb	transfer
magnetic metals	structural-adjective	magnetic
destroy	causes	harm
destroy environment	structural-verb	destroy
wind move sand	structural-agent	wind
mica	has property	nonmetallic
higher speed	structural-adjective	higher
degrees fahrenheit	synonym	f
nonmagnetic	instance of	magnetism
kincardineshire	structural-noun-compound	kincardineshire
animal	has property	pollinating
nonliving things	derivational morphology	nonliving thing
inverness-shire	structural-noun-compound	inverness
absorb sunlight	structural-verb	absorb
ecosystem	has property	natural
daisy	kind of	flower
refrigerator	kind of	appliance
japan	at location	northern hemisphere
shake body	structural-patient	body
transport material	structural-verb	transport
similar characteristic	structural-noun	characteristic
norfolk	instance of	county
frog	has property	young
soil	has property	infertile
surface feature	structural-noun-compound	feature
filter	kind of	tool
rotation	derivational morphology	rotate
least number	structural-adjective	least
learned behaviour	structural-noun	behaviour
speed	has property	no
eagle eat rabbit	has negative impact on	rabbit
compress prehistoric animal remains	structural-verb	compress
water	causes	rock erosion
gear	has property	safety
reptile	has property	cold-blooded
woodland	synonym	forest
degrees fahrenheit	kind of	temperature
pencil	kind of	object
behavioral adaptation	structural-adjective	behavioral
jet stream	causes	cold weather
tree	has subcomponent	leaf
tell difference	structural-verb	tell
low visibility	structural-adjective	low
plant adapt	structural-agent	plant
wheel and axle	structural-noun-compound	axle
bird	kind of	living thing
object	has property	positively-charged
water move sediment	structural-agent	water
reproduce	kind of	activity
little air	structural-noun	air
nebraska	structural-noun-compound	nebraska
greater depth	structural-adjective	greater
24 hour	structural-quantifier	24
north	antonym	south
deep sea animal	structural-noun-compound	animal
bark	at location	branch
wind speed	structural-noun-compound	speed
plastic	kind of	synthetic material
white blood cell	structural-noun-compound	blood
french southern and antarctic lands (france)	structural-noun-compound	lands
wind energy	structural-noun-compound	energy
be left out	synonym	move from
high pressure system	structural-noun-compound	system
warm weather	structural-noun	weather
magnifying lens	synonym	magnifying glass
lens	has property	tinted
circular motion	similar to	circle
money	has positive impact on	person
substance	has property	acidic
meat	at location	farm
ocean moisture	causes	hurricane
plant species	structural-noun-compound	species
reflect light ray	structural-patient	light ray
climate	synonym	environment
animal	has subcomponent	diet
floor	kind of	object
wire	kind of	path
table	has property	hard
tabasco	instance of	state
rabbit	at location	forest
peat become coal	at location	swamp
plane	has property	inclined
aquatic animal survive	structural-agent	aquatic animal
sun rise	synonym	sunrise
bean plant	structural-noun-compound	bean
indiana	instance of	state
eagle eat snake	has negative impact on	snake
matter	has property	weight
morelos	at location	mexico
length	kind of	unit
overload outlet	structural-verb	overload
change environment	structural-verb	change
male human	structural-adjective	male
hot plate	structural-noun-compound	plate
amount	has property	reduced
frog	has property	baby
chemical change	structural-adjective	chemical
virginia	instance of	state
french polynesia (france)	structural-noun-compound	polynesia
body store	structural-verb	store
laser	kind of	device
pine tree	structural-noun-compound	tree
high vibration	structural-adjective	high
nocturnal predator	structural-noun	predator
frying	derivational morphology	fry
preserve food	structural-verb	preserve
live birth	structural-noun	birth
seed dispersal	structural-noun-compound	seed
arizona mountain king snake	structural-noun-compound	king
release energy	kind of	function
smoke	has negative impact on	lung
life function	structural-noun-compound	life
bird eat seed	structural-agent	bird
harm eye	structural-verb	harm
reduce bacterium	structural-patient	bacterium
width	has property	small
plant	kind of	resource
different type	structural-adjective	different
animal	has property	warm-blooded
lack	antonym	contain
measure rainfall	structural-verb	measure
rock deposit	structural-agent	rock
crop rotation	structural-noun-compound	crop
recycling	derivational morphology	recycle
generally	synonym	normal
organism	at location	home
oxygen	at location	blood
living entity	at location	habitat
oregon	at location	united states of america
few prey	has negative impact on	predator population
tree fall	structural-agent	tree
light refract	structural-verb	refract
experiment	has subcomponent	chemical splash
break rock	structural-patient	rock
striped	kind of	color pattern
illinois	instance of	state
light bulb filament	structural-noun-compound	light
last quarter	structural-adjective	last
intense sound energy	structural-noun	sound energy
plastic	kind of	electrical insulator
flooding	kind of	change
moon's surface	synonym	lunar surface
veracruz	instance of	state
first quarter	kind of	moon phase
nitrogen	kind of	element
jarvis island (united states)	at location	southern hemisphere
michoacán	structural-noun-compound	michoacán
kazoo	kind of	musical instrument
open clam	structural-verb	open
energy	has property	electrical
appalachian mountains	structural-noun-compound	appalachian
good smell	structural-noun	smell
astronomy	kind of	science
moon reflect sunlight	structural-verb	reflect
soft iron	structural-noun-compound	soft
touch hot object	structural-patient	hot object
different soil	structural-adjective	different
create simple circuit	structural-patient	simple circuit
electrical insulator	structural-adjective	electrical
very tall	structural-adjective	tall
carbohydrate	has property	complex
number	has property	lowest
fuel supply	structural-noun-compound	supply
broken bone	structural-noun	bone
manganbabingtonite	has property	magnetic
many weight	structural-quantifier	many
most	synonym	majority
dwarf planet	structural-noun-compound	dwarf
earthquake strength	structural-noun-compound	earthquake
crop rotation	structural-noun-compound	rotation
utah	structural-noun-compound	utah
perthshire	at location	scotland
clackmannanshire	instance of	county
air hole	structural-noun-compound	hole
hang tongue	structural-patient	tongue
shiver	causes	heat body
near north pole	structural-noun	north pole
absorbance	at location	surface
macau special administrative region	structural-noun-compound	region
wire	kind of	electrical conductor
heat solid	structural-verb	heat
washington, district of columbia	instance of	federal district
leave alone	antonym	change
beijing municipality	synonym	beijing
result	synonym	evidence
object	has property	close
plant become oil	structural-agent	plant
atom	kind of	object
attract magnet	structural-patient	magnet
thick fur	structural-noun	fur
whale shark	structural-noun-compound	whale
wear safety goggle	kind of	safety measure
high-quality	synonym	positive
plant species	kind of	plant
temperature	causes	air pressure
food	kind of	chemical energy
railroad tracks	derivational morphology	railroad track
sharp beak	structural-adjective	sharp
erosion	kind of	change
chad	at location	southern hemisphere
northern summer	has subcomponent	june
heat energy	has property	medium
help entity	has positive impact on	entity
light refract	structural-agent	light
sound reflect	structural-agent	sound
atmosphere	has subcomponent	solid
six leg	structural-adjective	six
mongolia	at location	northern hemisphere
remove dead organism	structural-verb	remove
microscope	kind of	tool
lava	at location	ground
make valid conclusion	structural-verb	make
find food	structural-verb	find
create paper	structural-patient	paper
material	has property	neutral
circuit	has subcomponent	wire
multi-cell organism	structural-noun-compound	organism
stove	has subcomponent	burner
greatest size	structural-adjective	greatest
carnivore eat animal	structural-agent	carnivore
bacteria	has property	microscopic
colorado river flow	structural-verb	flow
fur	causes	warm
aquatic animal	has subcomponent	fin
sick person	structural-adjective	sick
animal	at location	underground
carbon dioxide-oxygen cycle	structural-noun-compound	carbon
closed	derivational morphology	close
replace animal habitat	structural-verb	replace
desert	has property	high sunlight
iron	kind of	element
flowing liquid push	structural-verb	push
predate	has negative impact on	prey
cold weather	structural-noun	weather
plate tectonics	derivational morphology	plate tectonic
conserve water	structural-patient	water
wood	has property	nonmagnetic
low pressure system	structural-noun-compound	low
national park limit	structural-verb	limit
light	antonym	dark
protect soil	structural-verb	protect
pints	kind of	volume
safety gear	structural-noun-compound	safety
zero speed	structural-noun	speed
falling water	structural-noun-compound	falling
taste	kind of	sense
central nervous system	structural-noun-compound	system
animal	has property	arctic
coral sea islands (australia)	structural-noun-compound	sea
tunnel	kind of	hole
sound energy	has property	intense
characteristic	has property	similar
carbon dioxide	structural-noun-compound	dioxide
moving water	structural-noun	water
chemical reaction	structural-noun	reaction
pan	kind of	container
high wind speed	structural-adjective	high
inherited behaviour	structural-adjective	inherited
pesticide	at location	crop
pollution	has subcomponent	pollutant
candy	kind of	dessert
ring	derivational morphology	ringing
78% nitrogen	structural-noun	nitrogen
lizard	has property	lizard weight
race	at location	track
light energy	structural-noun	energy
taller	synonym	greater size
kent	at location	england
saint martin (france)	at location	northern hemisphere
seat belt	structural-noun-compound	belt
pyrrhotite	has property	magnetic
magnetic field	structural-noun-compound	magnetic
waves	derivational morphology	wave
glacier	has subcomponent	snow
leicestershire	at location	england
object	has property	structure
mix	kind of	activity
cardboard	has property	nonmagnetic
huntingdonshire	structural-noun-compound	huntingdonshire
sunrise	structural-noun-compound	rise
chemical	has property	basic
lowest daylight	structural-noun	daylight
predator	kind of	animal
city	causes	light pollution
fly kite	structural-patient	kite
plant cells	structural-noun	plant
michigan	structural-noun-compound	michigan
oxygen	at location	circulatory system
tokelau (new zealand)	structural-noun-compound	zealand
sun shine	structural-verb	shine
uzbekistan	at location	northern hemisphere
west virginia	structural-noun-compound	west
amount	synonym	volume
oil	has property	nonrenewable
south africa	structural-noun-compound	africa
observe moon	structural-patient	moon
plastic	has property	nonrenewable
transport dirt	structural-patient	dirt
animal bury seed	structural-verb	bury
form	kind of	change
prehistoric living thing	structural-noun	living thing
tlaxcala	at location	mexico
soil	has property	loose
little air	structural-quantifier	little
reproduce	synonym	have offspring
human eat crop	structural-verb	eat
macau	at location	people's republic of china
ferrous metals	derivational morphology	ferrous metal
lead	has property	nonmagnetic
mayotte (france)	at location	southern hemisphere
musical instrument	causes	sound
surface	has property	shiny
shake	derivational morphology	shaking
bacteria	causes	food poisoning
earthquake	causes	mountain
adult	kind of	animal
laboratory coat	structural-noun-compound	laboratory
carry food	structural-patient	food
sussex	instance of	county
less land	structural-quantifier	less
vehicle	causes	pollution
something	has property	amount
heat energy	has property	high
safety goggle	at location	eye
warm water	structural-adjective	warm
circuit	has property	open
distraction	derivational morphology	distract
iron nail	has subcomponent	iron
chocolate	kind of	solid
motion	kind of	action
force	causes	slow
rubber band	structural-noun-compound	band
colima	at location	mexico
kind of	structural-adjective	kind
earth's surface	at location	earth
animal drink desalinated water	structural-agent	animal
herbivore eat plant	has positive impact on	herbivore
event	kind of	action
individual	synonym	unique
magnet	has subcomponent	south pole
cloudy day	has subcomponent	little sunlight
loosen	derivational morphology	loose
kill animal	structural-patient	animal
dangerous object	causes	harm
stream	kind of	body of water
contract	kind of	change
macau special administrative region	structural-noun-compound	macau
raccoon eat trash	has positive impact on	raccoon
eritrea	at location	southern hemisphere
variable shape	structural-adjective	variable
glacial environment	structural-noun-compound	environment
vehicle	has subcomponent	windshield wiper
dormant plant	structural-noun	plant
animal disappear	structural-verb	disappear
earth poles	structural-noun	earth
peach tree	kind of	tree
sugar dissolve	at location	water
less object	structural-quantifier	less
warm	synonym	medium heat energy
rain	derivational morphology	rain
georgia	at location	united states of america
require resource	structural-verb	require
absorb energy	structural-verb	absorb
inheritance	derivational morphology	inherit
pour	derivational morphology	pouring
dark	antonym	light
composed of	synonym	made of
animal gather seed	structural-verb	gather
small rock	structural-adjective	small
life cycle	has subcomponent	metamorphosis
energy source	structural-noun-compound	energy
electric magnet	structural-adjective	electric
windshield wiper	structural-noun-compound	wiper
automobile	kind of	technology
surfaces	derivational morphology	surface
acquired characteristic	structural-noun	characteristic
day	has subcomponent	nighttime
rutland	structural-noun-compound	rutland
understand instruction	structural-verb	understand
montana	structural-noun-compound	montana
object	has property	medium
inverness-shire	instance of	county
cylindrical ferrous metal	structural-noun	ferrous metal
gravitational pull	structural-adjective	gravitational
winter	has subcomponent	cold temperature
keep	kind of	store
diameter	kind of	length
deflect air	structural-verb	deflect
warmer	synonym	greater temperature
waste	at location	landfill
amount	has property	big
move bone	structural-verb	move
decrease animal population	structural-patient	animal population
y axis	synonym	vertical axis
surface material	structural-noun-compound	material
new york	structural-noun-compound	new
prairie dog	structural-noun-compound	dog
horned lizard	structural-noun-compound	horned
old object	structural-adjective	old
magma	at location	underground
lack	similar to	low
wasp stinger	structural-noun-compound	stinger
structure	has property	crystal
attract mate	structural-patient	mate
excretory system	kind of	body system
metal	has property	magnetic
wear safety goggle	structural-patient	safety goggle
environment	has property	cold
power electrical device	structural-patient	electrical device
british virgin islands (uk)	structural-noun-compound	islands
coal	kind of	sedimentary rock
warm-blooded animal	structural-noun	animal
carpet	kind of	material
low temperature	structural-adjective	low
unique leaf	structural-noun	leaf
race	has subcomponent	start
discover color	structural-patient	color
destroy habitat	structural-patient	habitat
bright	has property	less
thickness	kind of	inherited characteristic
made of	similar to	contains
digestive system	has subcomponent	small intestine
child	kind of	animal
water exposure	structural-noun-compound	water
niue (new zealand)	at location	southern hemisphere
fur	has property	color
transfer	kind of	add
new hampshire	structural-noun-compound	hampshire
kilograms	kind of	weight
many organism	structural-quantifier	many
light year	structural-noun-compound	year
something form	kind of	process
transfer	synonym	get something to
scientific skill	structural-noun	skill
magnifying lens	structural-noun-compound	lens
low quality soil	structural-noun	soil
property	has property	intensive
windmill	has positive impact on	environment
new state	structural-noun	state
mimicry	has positive impact on	prey
tlaxcala	instance of	state
landfill	has negative impact on	community
solar radiation	structural-noun-compound	solar
substance	at location	source
mine	at location	ground
little bright	structural-quantifier	little
southern winter solstice	synonym	june 21
environment	has subcomponent	soil
webbed feet	structural-noun	feet
breathe water	structural-patient	water
size	has property	big
flower	has subcomponent	seed
less precipitation	structural-quantifier	less
producer	derivational morphology	produce
carbonic acid dissolve limestone	structural-agent	carbonic acid
guangdong	at location	people's republic of china
raccoon eat garbage	structural-patient	garbage
keep from happen	structural-patient	happen
united kingdom	at location	northern hemisphere
sense warning	synonym	receive warning
plasma	at location	star
keep from happen	structural-verb	keep from
kenya	at location	equator
nunavut	instance of	territory
extreme pressure	structural-noun	pressure
touch object	structural-verb	touch
grey cloud	structural-noun	cloud
beijing municipality	at location	people's republic of china
xinjiang autonomous region	structural-noun-compound	region
required object	structural-adjective	required
farm meat	structural-noun-compound	meat
water	at location	outside
offspring	has subcomponent	inherited characteristic
short distance	structural-adjective	short
have effect	structural-verb	have
wire	has subcomponent	metal
observe distant object	structural-patient	distant object
screw	kind of	simple machine
many required item	structural-noun	item
far from earth	structural-noun-compound	earth
better observation	structural-adjective	better
great distance	structural-noun	distance
predict weather	structural-patient	weather
protect environment	structural-verb	protect
light enter eye	structural-agent	light
moon's surface	structural-noun-compound	moon's
54k	kind of	kelvin
much energy	structural-quantifier	much
mountain	has subcomponent	rock
mexico city	synonym	mexico, d.f.
veracruz	structural-noun-compound	veracruz
electron leave atom	structural-verb	leave
exercise	kind of	habit
cloud	causes	rain
sound	has property	sound intensity
girl	has property	young
sedimentary	kind of	rock
natural structure	structural-adjective	natural
body of water	structural-noun-compound	water
squirrel eat edible plant	has positive impact on	squirrel
bear eat berry	structural-patient	berry
avoid predator	has positive impact on	prey
measure mass	structural-patient	mass
dependent variable	structural-noun-compound	variable
moon	kind of	celestial object
value	has property	above
first quarter moon	structural-noun-compound	first
taiwan	at location	northern hemisphere
earthquake	kind of	natural event
metal	kind of	material
electron microscope create	structural-verb	create
storm	kind of	weather
paint object	structural-verb	paint
decaying vegetation	structural-noun-compound	vegetation
l	has property	p
water flow	at location	slope
glacier ice melt	structural-verb	melt
suffolk	structural-noun-compound	suffolk
weathered	derivational morphology	weather
